Unnamed: 0,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Group
0,Female,36,Yes,1.0,Engineer,Yes,0.0,Low,Solar,A
1,Male,37,Yes,4.0,Healthcare,Yes,8.0,Average,Solar,C
2,Female,69,Yes,1.0,,No,0.0,Low,Solar,A
3,Male,59,Yes,2.0,Executive,No,11.0,High,Solar,C
4,Female,19,No,4.0,Marketing,No,,Low,Solar,D
5,Male,47,Yes,5.0,Doctor,Yes,0.0,High,Hydro,C
6,Male,61,Yes,3.0,Doctor,Yes,5.0,Low,Solar,A
7,Female,47,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
8,Male,50,Yes,4.0,Artist,Yes,2.0,Average,Solar,C
9,Male,19,No,4.0,Healthcare,No,0.0,Low,Solar,D
10,Male,22,No,3.0,Healthcare,No,0.0,Low,Solar,D
11,Female,22,No,6.0,Healthcare,No,0.0,Low,Solar,D
12,Male,50,Yes,5.0,Artist,Yes,1.0,Average,Solar,C
13,Male,27,No,3.0,Healthcare,No,8.0,Low,Wind,D
14,Male,18,No,3.0,Doctor,No,0.0,Low,Solar,D
15,Female,61,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
16,Female,20,Yes,3.0,Lawyer,Yes,1.0,Average,Wind,A
17,Male,45,Yes,2.0,Artist,Yes,1.0,Average,Solar,B
18,Male,55,Yes,1.0,Artist,Yes,8.0,Low,Solar,B
19,Female,88,Yes,4.0,Lawyer,Yes,1.0,Average,Solar,C
20,Male,63,Yes,3.0,Executive,No,,High,Solar,C
21,Male,69,Yes,,Lawyer,No,,High,Solar,D
22,Male,42,No,4.0,Artist,Yes,0.0,Low,Wind,B
23,Male,79,Yes,2.0,Executive,No,,High,Solar,B
24,Female,35,Yes,3.0,Healthcare,Yes,9.0,High,Solar,D
25,Male,27,Yes,4.0,Executive,No,5.0,High,Solar,D
26,Male,52,Yes,2.0,Engineer,Yes,,Low,Solar,D
27,Female,29,No,4.0,Healthcare,Yes,0.0,Low,Hydro,C
28,Female,79,Yes,2.0,Lawyer,No,1.0,High,Solar,B
29,Male,87,Yes,2.0,Lawyer,Yes,,High,Solar,A
30,Male,89,Yes,2.0,Lawyer,No,1.0,Low,Solar,A
31,Male,63,Yes,3.0,Artist,Yes,9.0,Average,,C
32,Male,31,No,2.0,Artist,No,1.0,Low,Solar,A
33,Male,72,Yes,6.0,Artist,Yes,1.0,Average,Tidal,C
34,Female,41,Yes,2.0,Doctor,Yes,9.0,Average,,C
35,Female,61,No,1.0,Artist,Yes,11.0,Low,Solar,B
36,Male,62,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
37,Male,56,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
38,Male,60,Yes,5.0,Artist,Yes,2.0,Average,Solar,C
39,Male,68,Yes,2.0,Artist,Yes,0.0,High,Solar,B
40,Male,19,No,8.0,Healthcare,No,,Low,Solar,D
41,Male,57,Yes,3.0,Executive,Yes,8.0,High,Solar,C
42,Male,19,No,5.0,Healthcare,No,5.0,Low,Biomass,D
43,Female,51,Yes,6.0,Artist,Yes,3.0,Average,Solar,C
44,Female,86,Yes,2.0,Artist,No,1.0,High,Solar,C
45,Female,74,Yes,2.0,Lawyer,No,1.0,High,Solar,A
46,Male,23,No,2.0,Entertainment,No,6.0,Low,Solar,D
47,Male,47,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
48,Female,19,No,6.0,Healthcare,No,7.0,Low,Solar,D
49,Male,50,Yes,4.0,Artist,No,0.0,High,Solar,B
50,Male,80,Yes,2.0,Lawyer,Yes,,High,Solar,B
51,Male,78,Yes,1.0,Lawyer,No,,Low,Biomass,A
52,Female,48,No,1.0,Doctor,Yes,0.0,Low,Solar,A
53,Male,70,Yes,2.0,Doctor,Yes,1.0,Average,Solar,B
54,Male,50,Yes,5.0,Executive,Yes,3.0,High,Solar,C
55,Female,83,Yes,2.0,Lawyer,Yes,0.0,High,Solar,C
56,Male,35,No,1.0,Entertainment,Yes,0.0,Low,Solar,A
57,Female,36,No,2.0,Artist,Yes,0.0,Low,Geothermal,B
58,Female,35,No,1.0,Artist,Yes,1.0,Low,Solar,A
59,Male,35,Yes,2.0,Artist,Yes,0.0,Average,Solar,B
60,Male,18,No,3.0,Healthcare,No,3.0,Low,Biomass,D
61,Female,73,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
62,Male,62,Yes,3.0,Artist,No,1.0,High,Solar,B
63,Female,46,Yes,2.0,Artist,Yes,1.0,Average,Solar,B
64,Male,43,Yes,4.0,Entertainment,Yes,0.0,Low,Hydro,A
65,Female,32,No,1.0,Entertainment,Yes,7.0,Low,Solar,A
66,Male,39,No,1.0,Artist,Yes,0.0,Low,Solar,A
67,Female,89,Yes,2.0,Lawyer,Yes,0.0,High,Solar,C
68,Female,18,No,3.0,Healthcare,No,0.0,Low,Hydro,D
69,Female,57,Yes,2.0,Artist,Yes,0.0,High,Wind,C
70,Female,18,No,4.0,Entertainment,No,0.0,Low,Solar,D
71,Female,71,Yes,2.0,Artist,Yes,1.0,High,Solar,C
72,Female,69,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
73,Female,42,No,4.0,Healthcare,Yes,0.0,Low,Solar,A
74,Female,36,No,2.0,Artist,Yes,0.0,Low,Solar,B
75,Female,80,Yes,2.0,Lawyer,Yes,1.0,High,Solar,C
76,Male,69,Yes,1.0,Entertainment,No,,Low,Solar,B
77,Female,67,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
78,Female,47,Yes,4.0,Doctor,Yes,1.0,Average,Solar,C
79,Female,49,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
80,Female,32,Yes,4.0,Engineer,No,9.0,Low,Solar,D
81,Female,65,Yes,4.0,Lawyer,Yes,1.0,Average,Solar,B
82,Female,78,Yes,2.0,Lawyer,No,0.0,High,Solar,A
83,Male,33,No,6.0,Artist,Yes,1.0,Low,Solar,C
84,Male,48,Yes,1.0,Artist,Yes,1.0,Low,Solar,B
85,Male,58,Yes,5.0,Executive,Yes,1.0,Average,Solar,C
86,Female,83,Yes,,Lawyer,Yes,1.0,High,Solar,B
87,Female,30,No,4.0,Healthcare,No,9.0,Low,Solar,D
88,Female,35,No,2.0,Artist,Yes,0.0,Low,Solar,B
89,Male,32,No,5.0,Healthcare,Yes,6.0,Low,Solar,D
90,Male,69,Yes,2.0,Homemaker,Yes,1.0,High,Solar,A
91,Female,71,Yes,2.0,Lawyer,Yes,1.0,High,Solar,C
92,Male,43,No,1.0,Lawyer,Yes,0.0,Low,Hydro,D
93,Male,37,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
94,Male,42,No,1.0,Doctor,Yes,0.0,Low,Solar,A
95,Female,70,Yes,2.0,Doctor,Yes,1.0,Average,Solar,B
96,Male,46,No,2.0,Artist,Yes,0.0,Low,Solar,A
97,Male,21,No,,Healthcare,No,,Low,Tidal,D
98,Male,70,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
99,Female,61,Yes,,Artist,Yes,1.0,Low,Solar,C
100,Male,60,Yes,1.0,Entertainment,Yes,1.0,Low,Solar,D
101,Male,37,No,2.0,Entertainment,Yes,0.0,Low,Biomass,A
102,Male,30,Yes,2.0,Healthcare,Yes,1.0,Low,Solar,A
103,Female,32,No,3.0,Engineer,Yes,1.0,Low,Solar,D
104,Male,26,Yes,3.0,Executive,Yes,0.0,Low,Solar,D
105,Male,42,No,1.0,Marketing,Yes,0.0,Low,Solar,A
106,Female,18,No,,Doctor,No,,Low,Solar,D
107,Male,80,Yes,,Executive,No,,Low,Solar,D
108,Male,29,Yes,2.0,Healthcare,Yes,8.0,High,Solar,A
109,Female,88,Yes,2.0,Artist,Yes,1.0,High,Solar,C
110,Male,70,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,B
111,Female,50,Yes,4.0,Artist,Yes,1.0,High,Solar,C
112,Male,43,Yes,4.0,Doctor,Yes,4.0,Average,Wind,C
113,Male,51,Yes,2.0,Artist,Yes,6.0,Average,Solar,C
114,Female,50,Yes,3.0,Artist,Yes,,High,Solar,C
115,Female,74,Yes,1.0,Homemaker,No,,Low,Solar,A
116,Female,29,No,3.0,Healthcare,Yes,,Low,Solar,B
117,Female,32,No,2.0,Engineer,Yes,,Low,Solar,D
118,Male,60,Yes,2.0,Executive,No,0.0,Low,Solar,A
119,Male,46,No,1.0,Artist,Yes,2.0,Low,Solar,C
120,Female,81,Yes,2.0,Marketing,Yes,0.0,Low,Solar,B
121,Male,41,Yes,7.0,Engineer,No,,Average,Hydro,A
122,Male,22,Yes,4.0,Executive,No,0.0,High,Solar,A
123,Male,37,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
124,Male,43,Yes,1.0,Engineer,No,0.0,Low,Solar,A
125,Male,50,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
126,Female,35,Yes,2.0,Artist,Yes,1.0,Average,Not Interested,C
127,Male,65,Yes,2.0,Lawyer,No,1.0,High,Solar,B
128,Female,41,No,4.0,Engineer,Yes,0.0,Low,Solar,D
129,Male,28,No,2.0,Entertainment,No,8.0,Low,Solar,D
130,Male,55,Yes,2.0,Artist,Yes,4.0,Average,Solar,C
